geneid	chr	left	right
A1BG	chr19	58858216	58864865
A1CF	chr10	52559169	52645435
A2M	chr12	9220308	9268753
A2ML1	chr12	8975068	9029381
A3GALT2	chr1	33772367	33786699
A4GALT	chr22	43088127	43091639
A4GNT	chr3	137842560	137851229
AAAS	chr12	53701244	53718542
AACS	chr12	125549925	125627866
AADAC	chr3	151531825	151546276
AADACL2	chr3	151451715	151475554
AADACL3	chr1	12776118	12788726
AADACL4	chr1	12704566	12727097
AADAT	chr4	170981373	171011538
AAED1	chr9	99401859	99417585
AAGAB	chr15	67493371	67547074
AAK1	chr2	69688532	69870786
AAMDC	chr11	77532155	77629478
AAMP	chr2	219128850	219134980
AANAT	chr17	74449433	74466199
AAR2	chr20	34824381	34858840
AARD	chr8	117950438	117956726
AARS	chr16	70286198	70323446
AARS2	chr6	44267391	44281063
AARSD1	chr17	41102563	41116493
AASDH	chr4	57204456	57253666
AASDHPPT	chr11	105948216	105969437
AASS	chr7	121716296	121784334
AATF	chr17	35306175	35414171
AATK	chr17	79091095	79139817
ABAT	chr16	8768422	8878432
ABCA1	chr9	107543283	107690518
ABCA10	chr17	67144148	67240987
ABCA12	chr2	215796266	216003151
ABCA13	chr7	48211057	48687091
ABCA2	chr9	139901686	139922740
ABCA3	chr16	2325882	2390747
ABCA4	chr1	94458393	94586688
ABCA5	chr17	67240452	67323242
ABCA6	chr17	67074843	67138015
ABCA7	chr19	1040102	1065568
ABCA8	chr17	66863433	66951492
ABCA9	chr17	66970629	67057205
ABCB1	chr7	87133175	87342564
ABCB10	chr1	229652329	229694442
ABCB11	chr2	169779448	169887832
ABCB4	chr7	87031365	87105055
ABCB5	chr7	20654830	20796632
ABCB6	chr2	220074490	220083712
ABCB7	chrX	74273115	74376132
ABCB8	chr7	150725510	150744869
ABCB9	chr12	123413547	123466196
ABCC1	chr16	16043434	16236931
ABCC10	chr6	43395292	43418168
ABCC11	chr16	48200821	48281305
ABCC12	chr16	48116884	48180681
ABCC2	chr10	101542489	101611949
