geneid	chr	left	right	source
5_8S_rRNA	chr20	110794510	110794670	rRNA
7SK	chr18	157863565	157863916	misc_RNA
A1BG	chr19	63548356	63556669	protein_coding
A1CF	chr10	52236328	52315441	protein_coding
A26A1	chr8	43266742	43337485	protein_coding
A26B1	chr15	19305253	19336667	protein_coding
A26C1A	chr2	131692394	131739435	protein_coding
A26C1B	chr2	130548073	130603265	protein_coding
A26C2	chr14	18623365	18654942	protein_coding
A26C3	chr22	14636332	14667885	protein_coding
A2BP1	chr16	7322752	7702500	protein_coding
A2LD1	chr13	99980520	100039047	protein_coding
A2M	chr12	9096693	9159825	protein_coding
A2ML1	chr12	8866417	8920646	protein_coding
A3GALT2	chr1	33544954	33559286	protein_coding
A4GALT	chr22	41418072	41446820	protein_coding
A4GNT	chr3	139325252	139333919	protein_coding
AAAS	chr12	51987508	52001648	protein_coding
AACS	chr12	124115878	124193824	protein_coding
AADAC	chr3	153014551	153028966	protein_coding
AADACL1	chr3	173831130	173911702	protein_coding
AADACL2	chr3	152934405	152958242	protein_coding
AADACL3	chr1	12698705	12711313	protein_coding
AADACL4	chr1	12627153	12649684	protein_coding
AADAT	chr4	171217948	171247947	protein_coding
AADC01095577.1	chr11	1152663	1178504	protein_coding
AAK1	chr2	69542036	69724290	protein_coding
AAMP	chr2	218837099	218843137	protein_coding
AANAT	chr17	71961028	71977793	protein_coding
AARS	chr16	68843798	68880913	protein_coding
AARS2	chr6	44374441	44389041	protein_coding
AARSD1	chr17	38356073	38386033	protein_coding
AASDH	chr4	56899219	56948395	protein_coding
AASDHPPT	chr11	105453502	105474629	protein_coding
AASS	chr7	121503532	121571504	protein_coding
AATF	chr17	32380288	32488283	protein_coding
AATK	chr17	76705703	76754467	protein_coding
AB001523.1	chr21	44240631	44240713	snRNA_pseudogene
AB015752.1	chr8	91677368	91677563	scRNA_pseudogene
AB019437.1	chr14	106269975	106270436	IG_V_gene
AB019437.56	chr14	106210467	106211412	processed_pseudogene
AB019438.1	chr14	106009519	106022574	IG_V_gene
AB019438.63	chr14	105987067	105988025	processed_pseudogene
AB019438.66	chr14	105963370	105963510	unprocessed_pseudogene
AB019439.1	chr14	105926945	105930412	IG_V_gene
AB019439.68	chr14	105814851	105815298	processed_pseudogene
AB019440.1	chr14	105650204	105698597	IG_V_gene
AB019440.30	chr14	105707447	105708158	processed_pseudogene
AB019441.1	chr14	105476654	105477101	IG_D_gene
AB019441.29	chr14	105515659	105516280	processed_pseudogene
ABAT	chr16	8675928	8785933	protein_coding
ABCA1	chr9	106583104	106730257	protein_coding
ABCA10	chr17	64655743	64752551	protein_coding
ABCA11	chr4	409224	457918	protein_coding
ABCA12	chr2	215504522	215711396	protein_coding
ABCA13	chr7	48208389	48657637	protein_coding
ABCA2	chr9	139021507	139043195	protein_coding
ABCA3	chr16	2265880	2330748	protein_coding
ABCA4	chr1	94230981	94359298	protein_coding
ABCA5	chr17	64754387	64834885	protein_coding
ABCA6	chr17	64586442	64649610	protein_coding
ABCA7	chr19	991116	1016424	protein_coding
ABCA8	chr17	64375028	64463128	protein_coding
ABCA9	chr17	64482369	64568731	protein_coding
ABCB1	chr7	86970884	87180500	protein_coding
ABCB10	chr1	227718953	227761065	protein_coding
ABCB11	chr2	169487694	169596079	protein_coding
ABCB4	chr7	86869302	86942991	protein_coding
ABCB5	chr7	20621355	20763157	protein_coding
ABCB6	chr2	219782738	219791917	protein_coding
ABCB8	chr7	150356482	150373582	protein_coding
ABCB9	chr12	121979494	122025705	protein_coding
ABCC1	chr16	15950935	16144432	protein_coding
ABCC10	chr6	43503270	43526142	protein_coding
ABCC11	chr16	46758322	46838806	protein_coding
ABCC12	chr16	46674385	46738182	protein_coding
ABCC13	chr21	14567991	14632206	protein_coding
ABCC2	chr10	101532493	101601571	protein_coding
ABCC3	chr17	46067227	46124061	protein_coding
ABCC4	chr13	94470084	94751688	protein_coding
ABCC5	chr3	185120420	185218421	protein_coding
ABCC6	chr16	16150924	16224815	protein_coding
ABCC6P2	chr16	14824163	14826050	protein_coding
ABCC8	chr11	17371008	17455025	protein_coding
ABCC9	chr12	21841590	21980895	protein_coding
ABCD1P4	chr22	15248420	15251613	unprocessed_pseudogene
ABCD2	chr12	38232814	38300237	protein_coding
ABCD3	chr1	94656599	94756670	protein_coding
ABCD4	chr14	73821733	73839512	protein_coding
ABCE1	chr4	146238606	146270126	protein_coding
ABCF1	chr6	30647149	30667286	protein_coding
ABCF2	chr7	150535856	150555250	protein_coding
ABCF3	chr3	185386678	185394487	protein_coding
ABCG1	chr21	42492868	42590421	protein_coding
ABCG2	chr4	89230441	89299035	protein_coding
ABCG4	chr11	118524960	118538582	protein_coding
ABCG5	chr2	43893115	43919462	protein_coding
ABCG8	chr2	43919607	43959108	protein_coding
ABHD1	chr2	27200161	27207182	protein_coding
ABHD10	chr3	113180589	113194896	protein_coding
ABHD11	chr7	72788363	72791120	protein_coding
ABHD12	chr20	25223380	25319477	protein_coding
ABHD13	chr13	107668764	107684603	protein_coding
ABHD14A	chr3	51984124	51990250	protein_coding
ABHD14B	chr3	51977575	51983117	protein_coding
ABHD2	chr15	87432429	87546567	protein_coding
ABHD3	chr18	17484856	17538724	protein_coding
ABHD4	chr14	22136987	22151097	protein_coding
ABHD5	chr3	43707379	43735295	protein_coding
ABHD6	chr3	58198349	58255499	protein_coding
ABHD7	chr1	92268146	92301672	protein_coding
ABHD8	chr19	17263941	17275282	protein_coding
ABHD9	chr19	15198731	15204231	protein_coding
ABI2	chr2	203901248	204005134	protein_coding
ABI3	chr17	44642588	44655586	protein_coding
ABI3BP	chr3	101950871	102195004	protein_coding
ABL1	chr9	132579089	132752883	protein_coding
ABL2	chr1	177335085	177465155	protein_coding
ABLIM1	chr10	116180862	116434404	protein_coding
ABLIM2	chr4	8018929	8211381	protein_coding
ABLIM3	chr5	148501247	148620192	protein_coding
ABO	chr9	135120384	135140451	protein_coding
ABP1	chr7	150180506	150189312	protein_coding
ABR	chr17	853510	1029881	protein_coding
ABRA	chr8	107840888	107851648	protein_coding
ABT1	chr6	26705159	26708257	protein_coding
ABTB1	chr3	128867472	128882452	protein_coding
ABTB2	chr11	34129111	34335378	protein_coding
AC000003.1	chr17	9914932	9915046	miRNA
AC000029.17	chr22	21804917	21805187	scRNA_pseudogene
AC000032.7	chr1	110012194	110053694	protein_coding
AC000041.8	chr22	28145144	28149182	unprocessed_pseudogene
AC000059.1	chr7	90099156	90099818	processed_pseudogene
AC000077.2	chr22	17998273	18001097	processed_pseudogene
AC000078.5	chr22	18254812	18255493	processed_pseudogene
AC000081.2	chr22	17605966	17606262	processed_pseudogene
AC000089.3	chr22	18159817	18160614	processed_pseudogene
AC000092.1	chr22	17733288	17733567	scRNA_pseudogene
AC000094.3	chr22	17625043	17626329	processed_pseudogene
AC000110.1	chr7	126722910	126723493	processed_pseudogene
AC000111.4	chr7	116915027	116915219	processed_pseudogene
AC000111.5	chr7	117013497	117013706	processed_pseudogene
AC000120.1	chr7	91617157	91646781	protein_coding
AC000362.1	chr7	126408257	126409068	processed_pseudogene
AC000367.1	chr7	126296057	126297822	processed_pseudogene
AC000374.1	chr7	125938425	125940169	processed_pseudogene
AC001226.1	chr13	76457004	76462725	processed_pseudogene
AC001226.2	chr13	76453311	76454052	processed_pseudogene
AC002055.2	chr22	49542380	49584800	protein_coding
AC002056.1	chr22	49539962	49540727	pseudogene
AC002066.2	chr7	115773145	115773234	miRNA
AC002070.1	chr12	118502980	118503083	miRNA
AC002073.1	chr22	29931299	29931515	pseudogene
AC002076.2	chr7	93312037	93312560	pseudogene
AC002081.1	chr7	86412133	86526765	protein_coding
AC002094.1	chr17	23734269	23734422	pseudogene
AC002126.1	chr19	19148712	19163938	protein_coding
AC002331.1	chr16	26565700	26565771	miRNA
AC002351.2	chr12	109858789	109859638	protein_coding
AC002410.2	chr7	18814190	18814427	snRNA_pseudogene
AC002456.2	chr7	90074256	90074358	snoRNA_pseudogene
AC002457.2	chr7	87091409	87091508	snoRNA_pseudogene
AC002458.1	chr7	90574625	90575044	processed_pseudogene
AC002464.1	chr6	110867968	110868199	scRNA_pseudogene
AC002470.17	chr22	19637822	19642102	snoRNA_pseudogene
AC002472.14	chr22	19749749	19754386	unprocessed_pseudogene
AC002472.8-201	chr22	19693395	19698576	protein_coding
AC002472.8-202	chr22	19730270	19746565	protein_coding
AC002480.1	chr7	22516494	22640794	pseudogene
AC002485.1	chr6	67126039	67126113	miRNA
AC002486.2	chr7	20595138	20596233	processed_pseudogene
AC002511.1	chr19	40588349	40599582	miRNA
AC002519.1	chr16	31726748	31727666	pseudogene
AC002539.1	chr17	65456597	65456683	miRNA
AC002542.2	chr7	116614838	116615030	processed_pseudogene
AC002543.1	chr7	116337180	116337254	scRNA_pseudogene
AC002543.2	chr7	116300744	116303666	processed_pseudogene
AC002553.2	chr17	15942743	15942843	snRNA_pseudogene
AC002553.4	chr17	15928081	15928420	processed_pseudogene
AC002558.1	chr17	42550867	42550956	miRNA
AC002978.1	chr12	109996155	109996276	miRNA
AC002979.14	chr12	110224987	110225086	miRNA
AC003003.1	chr16	19204665	19227914	protein_coding
AC003042.1	chr17	32004414	32005154	retrotransposed
AC003042.2	chr17	32022339	32031324	protein_coding
AC003043.1	chr17	39797908	39798105	snoRNA_pseudogene
AC003045.1	chr7	116867272	116868070	processed_pseudogene
AC003080.1	chr7	111380972	111381056	rRNA_pseudogene
AC003087.2	chr7	23901174	23901278	snoRNA_pseudogene
AC003087.4	chr7	23817288	23817804	processed_pseudogene
AC003099.1	chr4	108143825	108144132	rRNA_pseudogene
AC003101.1	chr17	26816687	26816980	scRNA_pseudogene
AC003110.1	chr19	19204664	19204733	snRNA_pseudogene
AC003111.1	chr19	15279780	15280103	scRNA_pseudogene
AC003662.3	chr17	41278037	41280212	protein_coding
AC003681.1	chr22	28670198	28670285	miRNA
AC003950.1	chr17	52651495	52651556	scRNA_pseudogene
AC003956.1	chr19	15117026	15117122	snRNA_pseudogene
AC003958.1	chr17	36816290	36821553	unprocessed_pseudogene
AC003958.5	chr17	36733205	36739323	unprocessed_pseudogene
AC003958.6	chr17	36744410	36745511	unprocessed_pseudogene
AC003968.1	chr7	125467519	125467590	miRNA
AC003999.2	chr7	26644015	26653414	protein_coding
AC004001.1	chr7	111497669	111497755	miRNA
AC004014.2	chr7	108311274	108311873	protein_coding
AC004017.1-201	chr19	62890341	62891216	protein_coding
AC004017.1-202	chr19	62895680	62895940	protein_coding
AC004019.10	chr22	16277744	16278875	processed_pseudogene
AC004019.16	chr22	16377708	16378061	processed_pseudogene
AC004022.1	chr7	94743836	94743921	snoRNA_pseudogene
AC004034.2	chr16	2917664	2917735	tRNA_pseudogene
AC004053.1	chr4	107186689	107457244	protein_coding
AC004055.1	chr4	108575724	108575820	snRNA_pseudogene
AC004066.1	chr4	106667289	106668003	miRNA
AC004079.1	chr7	27029882	27031053	pseudogene
AC004082.1	chr7	82287732	82314451	protein_coding
AC004084.1	chr7	102001355	102007318	protein_coding
AC004084.7	chr7	101983352	101989855	protein_coding
AC004098.1	chr17	42154132	42154717	pseudogene
AC004112.2	chr7	111802794	111802861	Mt_tRNA_pseudogene
AC004128.1	chr7	92157230	92160095	protein_coding
AC004129.2	chr7	25218003	25219110	pseudogene
AC004142.2	chr7	110536576	110536649	Mt_tRNA_pseudogene
AC004147.2	chr17	29471213	29471300	rRNA_pseudogene
AC004148.1	chr17	5269338	5275700	protein_coding
AC004166.12-201	chr7	73936201	73944663	protein_coding
AC004166.12-202	chr7	73958342	73969099	protein_coding
AC004217.1	chr12	111224057	111224868	pseudogene
AC004222.1	chr17	26606947	26607015	scRNA_pseudogene
AC004223.1	chr17	30427872	30428139	snoRNA_pseudogene
AC004241.2	chr12	46389795	46405617	protein_coding
AC004258.1	chr19	1226438	1230227	protein_coding
AC004381.1	chr16	20742265	20742357	Mt_tRNA_pseudogene
AC004381.6	chr16	20725322	20768485	protein_coding
AC004410.1	chr19	2279629	2306099	protein_coding
AC004448.3	chr17	19289875	19290757	pseudogene
AC004448.4	chr17	19340848	19341434	processed_pseudogene
AC004449.1	chr19	595371	598309	protein_coding
AC004453.1	chr7	44473967	44474477	pseudogene
AC004455.2	chr7	43124020	43169311	protein_coding
AC004460.1-201	chr15	28876855	28881227	protein_coding
AC004460.1-202	chr15	28795810	28848794	protein_coding
AC004460.1-203	chr15	28879711	28879878	scRNA_pseudogene
AC004460.1-204	chr15	28880801	28880883	miRNA
AC004461.4	chr22	17423327	17424020	processed_pseudogene
AC004471.2	chr22	17498503	17499992	protein_coding
AC004485.2	chr7	24267755	24267858	rRNA_pseudogene
